trait	animal	pe	sire	dam	sex	year	month	man	trait
1	M12034	M12034	101	13	2	2012	14	1	3 
1	M12034	M12034	101	13	2	2012	14	3	4 
1	M12034	M12034	101	13	2	2012	14	5	5 
1	F12035	F12035	103	24	1	2012	14	1	1 
1	F12035	F12035	103	24	1	2012	14	3	2 
1	F12035	F12035	103	24	1	2012	14	5	2 
1	M12036	M12036	101	5	2	2012	14	1	5 
1	M12036	M12036	101	5	2	2012	14	3	5 
1	M12036	M12036	101	5	2	2012	14	5	5 
1	F12037	F12037	103	17	1	2012	14	1	3 
1	F12037	F12037	103	17	1	2012	14	3	3 
1	F12037	F12037	103	17	1	2012	14	5	5 
1	F12039	F12039	103	63	1	2012	14	1	3 
1	F12039	F12039	103	63	1	2012	14	3	5 
1	F12039	F12039	103	63	1	2012	14	5	5 
1	F12040	F12040	103	9005	1	2012	14	1	3 
1	F12040	F12040	103	9005	1	2012	14	3	4 
1	F12040	F12040	103	9005	1	2012	14	5	4 
1	F12041	F12041	103	52	1	2012	14	1	3 
1	F12041	F12041	103	52	1	2012	14	3	3 
1	F12041	F12041	103	52	1	2012	14	5	3 
1	F12042	F12042	103	27	1	2012	14	1	2 
1	F12042	F12042	103	27	1	2012	14	3	3 
1	F12042	F12042	103	27	1	2012	14	5	3 
1	F12044	F12044	103	60	1	2012	14	1	2 
1	F12044	F12044	103	60	1	2012	14	3	3 
1	F12044	F12044	103	60	1	2012	14	5	3 
1	F12047	F12047	103	62	1	2012	14	1	3 
1	F12047	F12047	103	62	1	2012	14	3	5 
1	F12047	F12047	103	62	1	2012	14	5	5 
1	M12048	M12048	103	23	2	2012	13	1	4 
1	M12048	M12048	103	23	2	2012	13	3	4 
1	M12048	M12048	103	23	2	2012	13	5	5 
1	M12049	M12049	103	14	2	2012	13	1	2 
1	M12049	M12049	103	14	2	2012	13	3	3 
1	M12049	M12049	103	14	2	2012	13	5	3 
1	F12051	F12051	101	43	1	2012	13	1	4 
1	F12051	F12051	101	43	1	2012	13	3	4 
1	F12051	F12051	101	43	1	2012	13	5	4 
1	M12052	M12052	103	26	2	2012	13	1	3 
1	M12052	M12052	103	26	2	2012	13	3	3 
1	M12052	M12052	103	26	2	2012	13	5	4 
1	F12053	F12053	103	65	1	2012	13	1	3 
1	F12053	F12053	103	65	1	2012	13	3	3 
1	F12053	F12053	103	65	1	2012	13	5	4 
1	M12054	M12054	103	16	2	2012	13	1	4 
1	M12054	M12054	103	16	2	2012	13	3	4 
1	M12054	M12054	103	16	2	2012	13	5	5 
1	F13001	F13001	101	4	1	2013	18	1	4
1	F13001	F13001	101	4	1	2013	18	3	5
1	F13001	F13001	101	4	1	2013	18	5	4
1	F13001	F13001	101	4	1	2013	18	6	5
1	F13003	F13003	101	12	1	2013	18	1	2
1	F13003	F13003	101	12	1	2013	18	3	3
1	F13003	F13003	101	12	1	2013	18	5	4
1	F13003	F13003	101	12	1	2013	18	6	3
1	M13004	M13004	101	15	2	2013	18	1	5
1	M13004	M13004	101	15	2	2013	18	3	5
1	M13004	M13004	101	15	2	2013	18	5	5
1	M13004	M13004	101	15	2	2013	18	6	5
1	F13006	F13006	101	25	1	2013	18	1	2
1	F13006	F13006	101	25	1	2013	18	3	3
1	F13006	F13006	101	25	1	2013	18	5	4
1	F13006	F13006	101	25	1	2013	18	6	3
1	F13010	F13010	101	9001	1	2013	18	1	5
1	F13010	F13010	101	9001	1	2013	18	3	5
1	F13010	F13010	101	9001	1	2013	18	5	4
1	F13010	F13010	101	9001	1	2013	18	6	5
1	M13011	M13011	101	18	2	2013	18	1	3
1	M13011	M13011	101	18	2	2013	18	3	3
1	M13011	M13011	101	18	2	2013	18	5	4
1	M13011	M13011	101	18	2	2013	18	6	3
1	F13012	F13012	101	37	1	2013	18	1	5
1	F13012	F13012	101	37	1	2013	18	3	5
1	F13012	F13012	101	37	1	2013	18	5	5
1	F13012	F13012	101	37	1	2013	18	6	5
1	F13013	F13013	101	38	1	2013	18	1	3
1	F13013	F13013	101	38	1	2013	18	3	4
1	F13013	F13013	101	38	1	2013	18	5	4
1	F13013	F13013	101	38	1	2013	18	6	4
1	M13014	M13014	103	61	2	2013	18	1	2
1	M13014	M13014	103	61	2	2013	18	3	3
1	M13014	M13014	103	61	2	2013	18	5	3
1	M13014	M13014	103	61	2	2013	18	6	3
1	F13015	F13015	103	58	1	2013	18	1	3
1	F13015	F13015	103	58	1	2013	18	3	3
1	F13015	F13015	103	58	1	2013	18	5	4
1	F13015	F13015	103	58	1	2013	18	6	4
1	F13016	F13016	103	3	1	2013	18	1	4
1	F13016	F13016	103	3	1	2013	18	3	4
1	F13016	F13016	103	3	1	2013	18	5	3
1	F13016	F13016	103	3	1	2013	18	6	3
1	M13017	M13017	101	57	2	2013	17	1	2
1	M13017	M13017	101	57	2	2013	17	3	3
1	M13017	M13017	101	57	2	2013	17	5	3
1	M13017	M13017	101	57	2	2013	17	6	2
1	M13018	M13018	101	45	2	2013	17	1	4
1	M13018	M13018	101	45	2	2013	17	3	4
1	M13018	M13018	101	45	2	2013	17	5	3
1	M13018	M13018	101	45	2	2013	17	6	5
1	M13019	M13019	101	36	2	2013	17	1	4
1	M13019	M13019	101	36	2	2013	17	3	5
1	M13019	M13019	101	36	2	2013	17	5	4
1	M13019	M13019	101	36	2	2013	17	6	5
1	M13020	M13020	101	11	2	2013	17	1	3
1	M13020	M13020	101	11	2	2013	17	3	3
1	M13020	M13020	101	11	2	2013	17	5	4
1	M13020	M13020	101	11	2	2013	17	6	3
1	M13021	M13021	101	47	2	2013	17	1	5
1	M13021	M13021	101	47	2	2013	17	3	4
1	M13021	M13021	101	47	2	2013	17	5	4
1	M13021	M13021	101	47	2	2013	17	6	5
1	M13022	M13022	101	50	2	2013	17	1	3
1	M13022	M13022	101	50	2	2013	17	3	3
1	M13022	M13022	101	50	2	2013	17	5	4
1	M13022	M13022	101	50	2	2013	17	6	4
1	F13024	F13024	101	9002	1	2013	17	1	3
1	F13024	F13024	101	9002	1	2013	17	3	3
1	F13024	F13024	101	9002	1	2013	17	5	3
1	F13024	F13024	101	9002	1	2013	17	6	3
1	F13025	F13025	101	55	1	2013	17	1	5
1	F13025	F13025	101	55	1	2013	17	3	5
1	F13025	F13025	101	55	1	2013	17	5	5
1	F13025	F13025	101	55	1	2013	17	6	5
1	F13026	F13026	101	29	1	2013	17	1	2
1	F13026	F13026	101	29	1	2013	17	3	3
1	F13026	F13026	101	29	1	2013	17	5	2
1	F13026	F13026	101	29	1	2013	17	6	2
1	F13027	F13027	M10032	F10020	1	2013	17	1	3
1	F13027	F13027	M10032	F10020	1	2013	17	3	3
1	F13027	F13027	M10032	F10020	1	2013	17	5	4
1	F13027	F13027	M10032	F10020	1	2013	17	6	3
1	M13028	M13028	103	17	2	2013	17	1	3
1	M13028	M13028	103	17	2	2013	17	3	4
1	M13028	M13028	103	17	2	2013	17	5	4
1	M13028	M13028	103	17	2	2013	17	6	3
1	M13029	M13029	101	35	2	2013	17	1	2
1	M13029	M13029	101	35	2	2013	17	3	3
1	M13029	M13029	101	35	2	2013	17	5	2
1	M13029	M13029	101	35	2	2013	17	6	2
1	F13031	F13031	103	27	1	2013	17	1	5
1	F13031	F13031	103	27	1	2013	17	3	4
1	F13031	F13031	103	27	1	2013	17	5	4
1	F13031	F13031	103	27	1	2013	17	6	5
1	M13032	M13032	M10032	F10002	2	2013	17	1	3
1	M13032	M13032	M10032	F10002	2	2013	17	3	4
1	M13032	M13032	M10032	F10002	2	2013	17	5	4
1	M13032	M13032	M10032	F10002	2	2013	17	6	4
1	F13033	F13033	103	42	1	2013	16	1	3
1	F13033	F13033	103	42	1	2013	16	3	4
1	F13033	F13033	103	42	1	2013	16	5	4
1	F13033	F13033	103	42	1	2013	16	6	5
1	M13034	M13034	101	1	2	2013	16	1	4
1	M13034	M13034	101	1	2	2013	16	3	4
1	M13034	M13034	101	1	2	2013	16	5	4
1	M13034	M13034	101	1	2	2013	16	6	5
1	F13035	F13035	M10032	F10013	1	2013	16	1	4
1	F13035	F13035	M10032	F10013	1	2013	16	3	5
1	F13035	F13035	M10032	F10013	1	2013	16	5	4
1	F13035	F13035	M10032	F10013	1	2013	16	6	5
1	F13036	F13036	103	8	1	2013	16	1	4
1	F13036	F13036	103	8	1	2013	16	3	5
1	F13036	F13036	103	8	1	2013	16	5	4
1	F13036	F13036	103	8	1	2013	16	6	3
1	M13037	M13037	103	60	2	2013	16	1	5
1	M13037	M13037	103	60	2	2013	16	3	5
1	M13037	M13037	103	60	2	2013	16	5	4
1	M13037	M13037	103	60	2	2013	16	6	4
1	M13040	M13040	101	64	2	2013	16	1	3
1	M13040	M13040	101	64	2	2013	16	3	4
1	M13040	M13040	101	64	2	2013	16	5	3
1	M13040	M13040	101	64	2	2013	16	6	3
1	F13041	F13041	101	10	1	2013	16	1	3
1	F13041	F13041	101	10	1	2013	16	3	3
1	F13041	F13041	101	10	1	2013	16	5	4
1	F13041	F13041	101	10	1	2013	16	6	4
1	F13042	F13042	103	62	1	2013	16	1	1
1	F13042	F13042	103	62	1	2013	16	3	2
1	F13042	F13042	103	62	1	2013	16	5	1
1	F13042	F13042	103	62	1	2013	16	6	1
1	M13043	M13043	101	54	2	2013	16	1	4
1	M13043	M13043	101	54	2	2013	16	3	5
1	M13043	M13043	101	54	2	2013	16	5	4
1	M13043	M13043	101	54	2	2013	16	6	5
1	F13044	F13044	M10032	F10009	1	2013	16	3	2
1	F13044	F13044	M10032	F10009	1	2013	16	5	2
1	F13044	F13044	M10032	F10009	1	2013	16	6	2
1	M13045	M13045	101	5	2	2013	16	1	2
1	M13045	M13045	101	5	2	2013	16	3	3
1	M13045	M13045	101	5	2	2013	16	5	4
1	M13045	M13045	101	5	2	2013	16	6	3
1	F13046	F13046	101	31	1	2013	16	1	3
1	F13046	F13046	101	31	1	2013	16	3	3
1	F13046	F13046	101	31	1	2013	16	5	3
1	F13046	F13046	101	31	1	2013	16	6	2
1	M13047	M13047	103	24	2	2013	16	1	2
1	M13047	M13047	103	24	2	2013	16	3	2
1	M13047	M13047	103	24	2	2013	16	5	2
1	M13047	M13047	103	24	2	2013	16	6	2
1	M13048	M13048	103	52	2	2013	16	1	4
1	M13048	M13048	103	52	2	2013	16	3	4
1	M13048	M13048	103	52	2	2013	16	5	4
1	M13048	M13048	103	52	2	2013	16	6	4
1	F13050	F13050	103	16	1	2013	16	1	4
1	F13050	F13050	103	16	1	2013	16	3	3
1	F13050	F13050	103	16	1	2013	16	5	4
1	F13050	F13050	103	16	1	2013	16	6	4
1	F13053	F13053	101	33	1	2013	15	1	4
1	F13053	F13053	101	33	1	2013	15	3	5
1	F13053	F13053	101	33	1	2013	15	5	4
1	F13053	F13053	101	33	1	2013	15	6	4
1	F13054	F13054	103	26	1	2013	15	1	3
1	F13054	F13054	103	26	1	2013	15	3	4
1	F13054	F13054	103	26	1	2013	15	5	3
1	F13054	F13054	103	26	1	2013	15	6	3
1	M13055	M13055	M10032	F10037	2	2013	15	1	4
1	M13055	M13055	M10032	F10037	2	2013	15	3	4
1	M13055	M13055	M10032	F10037	2	2013	15	5	4
1	M13055	M13055	M10032	F10037	2	2013	15	6	5
1	F13057	F13057	103	6	1	2013	15	1	3
1	F13057	F13057	103	6	1	2013	15	3	3
1	F13057	F13057	103	6	1	2013	15	5	3
1	F13057	F13057	103	6	1	2013	15	6	2
1	F13058	F13058	M10032	F10005	1	2013	14	1	4
1	F13058	F13058	M10032	F10005	1	2013	14	3	5
1	F13058	F13058	M10032	F10005	1	2013	14	5	4
1	F13058	F13058	M10032	F10005	1	2013	14	6	5
1	F14001	F14001	101	57	1	2014	17	3	3
1	F14001	F14001	101	57	1	2014	17	5	3
1	F14001	F14001	101	57	1	2014	17	6	3
1	F14002	F14002	101	19	1	2014	17	3	5
1	F14002	F14002	101	19	1	2014	17	5	5
1	F14002	F14002	101	19	1	2014	17	6	3
1	M14004	M14004	101	18	2	2014	17	3	3
1	M14004	M14004	101	18	2	2014	17	5	3
1	M14004	M14004	101	18	2	2014	17	6	3
1	F14006	F14006	101	9001	1	2014	17	3	4
1	F14006	F14006	101	9001	1	2014	17	5	5
1	F14006	F14006	101	9001	1	2014	17	6	5
1	M14009	M14009	101	45	2	2014	16	3	3
1	M14009	M14009	101	45	2	2014	16	5	3
1	M14009	M14009	101	45	2	2014	16	6	2
1	M14010	M14010	M10032	9005	2	2014	16	3	4
1	M14010	M14010	M10032	9005	2	2014	16	5	3
1	M14010	M14010	M10032	9005	2	2014	16	6	4
1	F14011	F14011	M10024	F10041	1	2014	16	3	4
1	F14011	F14011	M10024	F10041	1	2014	16	5	3
1	F14011	F14011	M10024	F10041	1	2014	16	6	2
1	F14012	F14012	101	47	1	2014	16	3	4
1	F14012	F14012	101	47	1	2014	16	5	3
1	F14012	F14012	101	47	1	2014	16	6	2
1	F14013	F14013	101	13	1	2014	16	3	4
1	F14013	F14013	101	13	1	2014	16	5	5
